Country,Country.code,Region,GEO,Area,Decline,Population (2018),Land Area (KM2),Area (km2),Density (2018),Prop_sixtyfive,ForeignBornPopulation,Note,Unemploy rate,Note,RU_Class,Altitude,Proximity_Capital,Proximity_UrbanArea (> 1mil),Proximity_UrbanArea (km),Coast,Proximity_Coast,Proximity_Coast(km)
Austria,AT,W,AT311,Innviertel,0,286047,2783,2823,98.83039885,16.75616717,10.3515398,,3.4,NUTS 2 level,3,115.0766229,162.4570151,76465.78371,76.46578371,0,149840.0874,149.8400874
Austria,AT,W,AT312,Linz-Wels,0,587029,1700,1744,323.1258824,17.21893125,16.89547924,,3.4,NUTS 2 level,2,106.3281698,162.5081037,162508.1037,162.5081037,0,163569.7924,163.5697924
Austria,AT,W,AT123,Sankt Pölten,0,154885,1214,1230,122.1120264,18.34340682,10.69862672,,4.5,NUTS 2 level,3,105.5724696,12.93416951,12934.16951,12.93416951,0,195258.7644,195.2587644
Austria,AT,W,AT113,Südburgenland,1,97174,1451,1471,67.23225362,19.99712979,7.926816797,,3.8,NUTS 2 level,3,98.91729323,73.9646225,73964.6225,73.9646225,0,165837.3073,165.8373073
Austria,AT,W,AT111,Mittelburgenland,1,37661,694,701,54.04178674,21.12784962,7.075007317,,3.8,NUTS 2 level,3,96.18607955,50.50021006,50500.21006,50.50021006,0,219964.545,219.964545
Austria,AT,W,AT125,Weinviertel,0,124893,2390,2412,51.68200837,19.94332902,6.863809447,,4.5,NUTS 2 level,3,83.83534304,0,18540.43312,18.54043312,0,267900.5449,267.9005449
Austria,AT,W,AT127,Wiener Umland/Südteil,0,339977,1443,1475,220.7325017,18.50293705,15.76552588,,4.5,NUTS 2 level,2,78.24474576,0,0,0,0,240043.2546,240.0432546
Austria,AT,W,AT126,Wiener Umland/Nordteil,0,327072,2658,2723,115.1471031,17.91472942,11.62304345,,4.5,NUTS 2 level,1,71.94080882,0,0,0,0,248441.6328,248.4416328
Austria,AT,W,AT130,Wien,0,1888776,396,415,4300.138889,16.8895179,30.59215611,,8.1,NUTS 2 level,1,67.86977887,0,0,0,0,259473.5804,259.4735804
Austria,AT,W,AT112,Nordburgenland,0,157840,1635,1792,91.45076453,18.85541927,10.06053752,,3.8,NUTS 2 level,3,55.25389755,0,16738.92669,16.73892669,0,235316.2141,235.3162141
Belgium,BE,W,BE342,Arr. Bastogne,0,48828,1047,1047,43.93791786,14.25428465,4.021736739,,6.2,NUTS 2 level,3,117.8210526,0,87535.30173,87.53530173,0,84667.88634,84.66788634
Belgium,BE,W,BE344,Arr. Neufchâteau,0,63105,1359,1359,44.48859455,16.14431487,3.415716936,,6.2,NUTS 2 level,3,111.2433628,3.039048892,53397.16434,53.39716434,0,53233.62179,53.23362179
